book_id,Title,Author,summary ,genre,rank,image
11691,Snow,Orhan Pamuk,summary,genre,,11691.jpg
45885070,One Day I Will Save Myself,Elvira Sastre,summary,genre,,45885070.jpg
124862,October Sky (The Coalwood Series #1),Homer Hickam,summary,genre,,124862.jpg
17607,All About Love: New Visions,bell hooks,summary,genre,,17607.jpg
14935,Sense and Sensibility,Jane Austen,summary,genre,2,14935.jpg
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,summary,genre,,41880609.jpg
11693,The White Castle,Orhan Pamuk,summary,genre,,11693.jpg
45289222,Writers & Lovers,Lily King,summary,genre,,45289222.jpg
991197,The Complete Persepolis,Marjane Satrapi,summary,genre,,991197.jpg
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,summary,genre,5,44421460.jpg
32998876,101 Essays That Will Change The Way You Think,Brianna Wiest,summary,genre,,32998876.jpg
40740914,If Cats Disappeared from the World,Genki Kawamura,summary,genre,,40740914.jpg
48616787,The Lying Life of Adults,Elena Ferrante,summary,genre,,48616787.jpg
61359016,The Applicant,Nazli Koca,summary,genre,,61359016.jpg
1252043,The Witch of Portobello,Paulo Coelho,summary,genre,,1252043.jpg
151740,"The Lemon Tree: An Arab, a Jew, and the Heart of the Middle East",Sandy Tolan,summary,genre,,151740.jpg
5297,The Picture of Dorian Gray,Oscar Wilde,summary,genre,,5297.jpg
41949311,Someone Who Will Love You in All Your Damaged Glory,Raphael Bob-Waksberg,summary,genre,,41949311.jpg
39988,Matilda,Roald Dahl,summary,genre,,39988.jpg
35511877,All My Goodbyes,Mariana Dimópulos,summary,genre,,35511877.jpg
133518,The Things They Carried,Tim O'Brien,summary,genre,,133518.jpg
58890783,Either/Or,Elif Batuman,summary,genre,,58890783.jpg
30962053,The Idiot,Elif Batuman,summary,genre,1,30962053.jpg
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,summary,genre,,41104077.jpg
6900,Tuesdays with Morrie,Mitch Albom,summary,genre,,6900.jpg
40727626,Free Food for Millionaires,Min Jin Lee,summary,genre,,40727626.jpg
341879,Just Kids,Patti Smith,summary,genre,,341879.jpg
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,summary,genre,,44279110.jpg
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,summary,genre,,35031085.jpg
77203,The Kite Runner,Khaled Hosseini,summary,genre,3,77203.jpg
41057294,Normal People,Sally Rooney,summary,genre,4,41057294.jpg
56597885,"Beautiful World, Where Are You",Sally Rooney,summary,genre,,56597885.jpg
5113,Franny and Zooey,J.D. Salinger,summary,genre,,5113.jpg
39731666,Hippie,Paulo Coelho,summary,genre,,39731666.jpg
18144590,The Alchemist,Paulo Coelho,summary,genre,,18144590.jpg